epoch,loss,val_acc,val_loss
0,4.4458576143147432,0.237376702141087,2.9310027405900776
1,3.8608144503019401,0.46804981186704814,2.8023443312015175
2,3.6310043139394432,0.42812740774649494,2.9132790745429271
3,3.5361578326461109,0.47075422839173731,2.3599520381891503
4,3.4133897397141406,0.50028991389949362,2.601450893114198
5,3.3333944510780857,0.51209423986246005,2.3093297256613678
6,3.335159554412483,0.53702185317030493,2.6389849320897518
7,3.2443125897926359,0.54142403996215671,2.1939668880318695
8,3.2250533151396508,0.56851357193487995,2.7206111314161769
9,3.2237190295761255,0.58442237045405043,2.434373542947589
10,3.2373984970143392,0.59110942595409899,2.5360241880956687
11,3.154799175780127,0.60072184283778352,2.5051018674418613
12,3.1287142968724231,0.57321984194359688,2.1773840166487783
13,3.1704874426953324,0.55078524885312563,2.3368775687127745
14,3.1632259777860563,0.57765324582468791,2.2545167185225576
15,3.1048909024536537,0.57798007074392066,2.426345022219532
16,3.0859957325156548,0.5754714925896447,2.2953499240695305
17,3.1023290610284655,0.54110083096432238,2.5403401896638691
18,3.05922760563679,0.54593909489658643,2.4169172408445827
19,3.0156922517265716,0.56017800069080204,2.2564890901997403
20,3.0838584065868715,0.54885189094633424,2.3350559945376412
21,3.0840427931600369,0.56745788117624674,2.4298367342858946
22,3.086107093692545,0.55653726154903194,2.3497908565233336
